"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.176","50.2%","0.282","53.9%","0.031","45.3%"
"2","","WAS","0.137","46.7%","0.233","48.5%","0.030","44.6%"
"3","","DEN","0.113","48.0%","0.271","53.8%","-0.106","40.0%"
"4","","SEA","0.109","45.2%","0.213","49.1%","-0.005","41.0%"
"5","","SF","0.105","47.9%","0.170","49.5%","0.029","46.0%"
"6","","GB","0.102","46.3%","0.222","52.6%","-0.112","35.0%"
"7","","NO","0.093","47.2%","0.160","51.3%","-0.039","39.2%"
"8","","ATL","0.091","46.4%","0.234","53.2%","-0.192","32.8%"
"9","","NYG","0.086","46.8%","0.142","50.2%","-0.000","41.6%"
"10","","CAR","0.082","44.9%","0.158","46.1%","-0.025","43.4%"
"11","","HOU","0.069","43.9%","0.163","48.4%","-0.046","38.3%"
"12","","DAL","0.043","47.2%","0.127","51.6%","-0.133","38.0%"
"13","","IND","0.033","44.8%","0.094","47.0%","-0.080","40.7%"
"14","","BAL","0.025","41.5%","0.070","44.4%","-0.043","37.1%"
"15","","TB","0.018","41.0%","0.053","42.0%","-0.038","39.4%"
"16","","MIN","0.012","42.1%","0.030","44.4%","-0.013","39.0%"
"17","","CIN","-0.002","41.6%","0.019","45.1%","-0.034","36.2%"
"18","","DET","-0.004","45.2%","0.056","48.6%","-0.131","37.8%"
"19","","BUF","-0.006","42.3%","0.004","43.2%","-0.020","41.1%"
"20","","PIT","-0.007","42.0%","0.094","48.2%","-0.168","32.1%"
"21","","LA","-0.039","42.4%","0.011","45.9%","-0.118","36.7%"
"22","","CHI","-0.041","39.5%","0.005","43.0%","-0.104","34.7%"
"23","","LAC","-0.043","41.9%","0.017","45.9%","-0.136","35.8%"
"24","","MIA","-0.049","42.9%","-0.007","45.0%","-0.107","40.1%"
"25","","LV","-0.062","40.6%","0.028","44.7%","-0.226","32.9%"
"26","","CLE","-0.068","39.6%","-0.069","41.9%","-0.065","35.9%"
"27","","PHI","-0.073","42.7%","-0.005","42.8%","-0.208","42.5%"
"28","","TEN","-0.094","38.0%","-0.055","41.1%","-0.166","32.2%"
"29","","NYJ","-0.102","41.6%","-0.139","43.6%","-0.056","39.2%"
"30","","JAX","-0.118","39.9%","-0.107","41.9%","-0.139","35.9%"
"31","","KC","-0.132","40.7%","-0.172","41.2%","-0.084","40.2%"
"32","","ARI","-0.258","35.1%","-0.267","37.8%","-0.239","29.4%"